English,Ukrainian
time,час
person,людина
year,рік
way,шлях
day,день
thing,річ
man,чоловік
world,світ
life,життя
hand,рука
part,частина
child,дитина
eye,око
woman,жінка
place,місце
work,робота
week,тиждень
case,випадок
point,точка
government,уряд
company,компанія
number,число
group,група
problem,проблема
fact,факт
home,дім
water,вода
room,кімната
mother,мати
area,область
money,гроші
story,історія
school,школа
state,держава
family,сім'я
student,студент
game,гра
business,бізнес
study,дослідження
book,книга
job,робота
word,слово
food,їжа
door,двері
voice,голос
reason,причина
friend,друг
power,влада
hour,година
name,ім'я
be,бути
have,мати
do,робити
say,сказати
go,йти
can,могти
get,отримувати
make,робити
know,знати
think,думати
take,брати
see,бачити
come,приходити
want,хотіти
look,дивитися
use,використовувати
find,знаходити
give,давати
tell,розповідати
work,працювати
call,дзвонити
try,намагатися
ask,питати
need,потребувати
feel,відчувати
become,ставати
leave,йти
put,класти
mean,означати
keep,зберігати
let,дозволяти
begin,починати
help,допомагати
talk,розмовляти
turn,повертати
start,починати
show,показувати
hear,чути
play,грати
run,бігти
move,рухатися
live,жити
believe,вірити
bring,приносити
write,писати
sit,сидіти
stand,стояти
lose,втрачати
pay,платити
meet,зустрічати
time,час
person,людина
year,рік
way,шлях
day,день
thing,річ
man,чоловік
world,світ
life,життя
hand,рука
part,частина
child,дитина
eye,око
woman,жінка
place,місце
work,робота
week,тиждень
case,випадок
point,точка
government,уряд
company,компанія
number,число
group,група
problem,проблема
fact,факт
home,дім
water,вода
room,кімната
mother,мати
area,область
money,гроші
story,історія
school,школа
state,держава
family,сім'я
student,студент
game,гра
business,бізнес
study,дослідження
book,книга
job,робота
word,слово
food,їжа
door,двері
voice,голос
reason,причина
friend,друг
power,влада
hour,година
name,ім'я
be,бути
have,мати
do,робити
say,сказати
go,йти
can,могти
get,отримувати
make,робити
know,знати
think,думати
take,брати
see,бачити
come,приходити
want,хотіти
look,дивитися
use,використовувати
find,знаходити
give,давати
tell,розповідати
work,працювати
call,дзвонити
try,намагатися
ask,питати
need,потребувати
feel,відчувати
become,ставати
leave,йти
put,класти
mean,означати
keep,зберігати
let,дозволяти
begin,починати
help,допомагати
talk,розмовляти
turn,повертати
start,починати
show,показувати
hear,чути
play,грати
run,бігти
move,рухатися
live,жити
believe,вірити
bring,приносити
write,писати
sit,сидіти
stand,стояти
lose,втрачати
pay,платити
meet,зустрічати
time,час
person,людина
year,рік
way,шлях
day,день
thing,річ
man,чоловік
world,світ
life,життя
hand,рука
part,частина
child,дитина
eye,око
woman,жінка
place,місце
work,робота
week,тиждень
case,випадок
point,точка
government,уряд
company,компанія
number,число
group,група
problem,проблема
fact,факт
home,дім
water,вода
room,кімната
mother,мати
area,область
money,гроші
story,історія
school,школа
state,держава
family,сім'я
student,студент
game,гра
business,бізнес
study,дослідження
book,книга
job,робота
word,слово
food,їжа
door,двері
voice,голос
reason,причина
friend,друг
power,влада
hour,година
name,ім'я
be,бути
have,мати
do,робити
say,сказати
go,йти
can,могти
get,отримувати
make,робити
know,знати
think,думати
take,брати
see,бачити
come,приходити
want,хотіти
look,дивитися
use,використовувати
find,знаходити
give,давати
tell,розповідати
work,працювати
call,дзвонити
try,намагатися
ask,питати
need,потребувати
feel,відчувати
become,ставати
leave,йти
put,класти
mean,означати
keep,зберігати
let,дозволяти
begin,починати
help,допомагати
talk,розмовляти
turn,повертати
start,починати
show,показувати
hear,чути
play,грати
run,бігти
move,рухатися
live,жити
believe,вірити
bring,приносити
write,писати
sit,сидіти
stand,стояти
lose,втрачати
pay,платити
meet,зустрічати
time,час
person,людина
year,рік
way,шлях
day,день
thing,річ
man,чоловік
world,світ
life,життя
hand,рука
part,частина
child,дитина
eye,око
woman,жінка
place,місце
work,робота
week,тиждень
case,випадок
point,точка
government,уряд
company,компанія
number,число
group,група
problem,проблема
fact,факт
home,дім
water,вода
room,кімната
mother,мати
area,область
money,гроші
story,історія
school,школа
state,держава
family,сім'я
student,студент
game,гра
business,бізнес
study,дослідження
book,книга
job,робота
word,слово
food,їжа
door,двері
voice,голос
reason,причина
friend,друг
power,влада
hour,година
name,ім'я
be,бути
have,мати
do,робити
say,сказати
go,йти
can,могти
get,отримувати
make,робити
know,знати
think,думати
take,брати
see,бачити
come,приходити
want,хотіти
look,дивитися
use,використовувати
find,знаходити
give,давати
tell,розповідати
work,працювати
call,дзвонити
try,намагатися
ask,питати
need,потребувати
feel,відчувати
become,ставати
leave,йти
put,класти
mean,означати
keep,зберігати
let,дозволяти
begin,починати
help,допомагати
talk,розмовляти
turn,повертати
start,починати
show,показувати
hear,чути
play,грати
run,бігти
move,рухатися
live,жити
believe,вірити
bring,приносити
write,писати
sit,сидіти
stand,стояти
lose,втрачати
pay,платити
meet,зустрічати
time,час
person,людина
year,рік
way,шлях
day,день
thing,річ
man,чоловік
world,світ
life,життя
hand,рука
part,частина
child,дитина
eye,око
woman,жінка
place,місце
work,робота
week,тиждень
case,випадок
point,точка
government,уряд
company,компанія
number,число
group,група
problem,проблема
fact,факт
home,дім
water,вода
room,кімната
mother,мати
area,область
money,гроші
story,історія
school,школа
state,держава
family,сім'я
student,студент
game,гра
business,бізнес
study,дослідження
book,книга
job,робота
word,слово
food,їжа
door,двері
voice,голос
reason,причина
friend,друг
power,влада
hour,година
name,ім'я
be,бути
have,мати
do,робити
say,сказати
go,йти
can,могти
get,отримувати
make,робити
know,знати
think,думати
take,брати
see,бачити
come,приходити
want,хотіти
look,дивитися
use,використовувати
find,знаходити
give,давати
tell,розповідати
work,працювати
call,дзвонити
try,намагатися
ask,питати
need,потребувати
feel,відчувати
become,ставати
leave,йти
put,класти
mean,означати
keep,зберігати
let,дозволяти
begin,починати
help,допомагати
talk,розмовляти
turn,повертати
start,починати
show,показувати
hear,чути
play,грати
run,бігти
move,рухатися
live,жити
believe,вірити
bring,приносити
write,писати
sit,сидіти
stand,стояти
lose,втрачати
pay,платити
meet,зустрічати
time,час
person,людина
year,рік
way,шлях
day,день
thing,річ
man,чоловік
world,світ
life,життя
hand,рука
part,частина
child,дитина
eye,око
woman,жінка
place,місце
work,робота
week,тиждень
case,випадок
point,точка
government,уряд
company,компанія
number,число
group,група
problem,проблема
fact,факт
home,дім
water,вода
room,кімната
mother,мати
area,область
money,гроші
story,історія
school,школа
state,держава
family,сім'я
student,студент
game,гра
business,бізнес
study,дослідження
book,книга
job,робота
word,слово
food,їжа
door,двері
voice,голос
reason,причина
friend,друг
power,влада
hour,година
name,ім'я
be,бути
have,мати
do,робити
say,сказати
go,йти
can,могти
get,отримувати
make,робити
know,знати
think,думати
take,брати
see,бачити
come,приходити
want,хотіти
look,дивитися
use,використовувати
find,знаходити
give,давати
tell,розповідати
work,працювати
call,дзвонити
try,намагатися
ask,питати
need,потребувати
feel,відчувати
become,ставати
leave,йти
put,класти
mean,означати
keep,зберігати
let,дозволяти
begin,починати
help,допомагати
talk,розмовляти
turn,повертати
start,починати
show,показувати
hear,чути
play,грати
run,бігти
move,рухатися
live,жити
believe,вірити
bring,приносити
write,писати
sit,сидіти
stand,стояти
lose,втрачати
pay,платити
meet,зустрічати
time,час
person,людина
year,рік
way,шлях
day,день
thing,річ
man,чоловік
world,світ
life,життя
hand,рука
part,частина
child,дитина
eye,око
woman,жінка
place,місце
work,робота
week,тиждень
case,випадок
point,точка
government,уряд
company,компанія
number,число
group,група
problem,проблема
fact,факт
home,дім
water,вода
room,кімната
mother,мати
area,область
money,гроші
story,історія
school,школа
state,держава
family,сім'я
student,студент
game,гра
business,бізнес
study,дослідження
book,книга
job,робота
word,слово
food,їжа
door,двері
voice,голос
reason,причина
friend,друг
power,влада
hour,година
name,ім'я
be,бути
have,мати
do,робити
say,сказати
go,йти
can,могти
get,отримувати
make,робити
know,знати
think,думати
take,брати
see,бачити
come,приходити
want,хотіти
look,дивитися
use,використовувати
find,знаходити
give,давати
tell,розповідати
work,працювати
call,дзвонити
try,намагатися
ask,питати
need,потребувати
feel,відчувати
become,ставати
leave,йти
put,класти
mean,означати
keep,зберігати
let,дозволяти
begin,починати
help,допомагати
talk,розмовляти
turn,повертати
start,починати
show,показувати
hear,чути
play,грати
run,бігти
move,рухатися
live,жити
believe,вірити
bring,приносити
write,писати
sit,сидіти
stand,стояти
lose,втрачати
pay,платити
meet,зустрічати
time,час
person,людина
year,рік
way,шлях
day,день
thing,річ
man,чоловік
world,світ
life,життя
